IDX	TRD	TIMESTAMP (MS)	VOLUME	PRICE
565	1	1534102944000	0.000010	6395.00
566	4	1534102945000	0.528677	6396.81
567	6	1534102946000	0.170057	6396.54
568	12	1534102947000	1.002455	6397.40
569	3	1534102948000	0.999974	6395.01
570	3	1534102949000	0.002261	6395.03
571	23	1534102950000	13.610556	6391.02
572	19	1534102951000	5.409177	6390.00
573	30	1534102952000	8.344059	6390.00
574	16	1534102953000	4.370858	6390.00
575	11	1534102954000	0.449636	6390.00
576	16	1534102955000	5.310240	6390.00
577	30	1534102956000	8.414265	6390.00
578	25	1534102957000	4.150056	6390.00
579	18	1534102958000	5.136596	6390.00
580	23	1534102959000	9.471984	6390.00
581	19	1534102960000	8.683731	6390.00
582	34	1534102961000	22.516106	6390.00
583	110	1534102962000	20.237445	6370.42
584	29	1534102963000	5.015845	6366.25
585	36	1534102964000	7.293124	6363.83
586	25	1534102965000	3.866711	6364.47
587	156	1534102966000	29.175030	6339.40
588	29	1534102967000	8.149770	6346.29
589	24	1534102968000	1.953878	6351.73
590	24	1534102969000	3.123407	6352.57
591	29	1534102970000	2.614835	6347.99
592	39	1534102971000	9.011866	6341.12
593	14	1534102972000	0.498106	6343.98
594	35	1534102973000	9.873104	6347.90
595	18	1534102974000	1.646304	6351.35
596	33	1534102975000	4.171245	6351.24
597	11	1534102976000	2.988759	6345.59
598	16	1534102977000	5.212099	6348.54
599	21	1534102978000	7.429821	6349.23
600	17	1534102979000	8.370840	6351.10
601	17	1534102980000	2.097390	6348.14
602	18	1534102981000	3.703268	6344.47
603	12	1534102982000	2.593710	6347.55
604	25	1534102983000	4.676092	6342.88
605	14	1534102984000	6.703888	6345.37
606	14	1534102985000	2.674950	6346.07
607	6	1534102986000	0.112813	6342.66
608	5	1534102987000	0.510199	6342.59
609	15	1534102988000	7.920525	6340.95
610	16	1534102989000	2.069917	6339.39
611	27	1534102990000	14.464348	6344.63
612	8	1534102991000	0.833770	6340.71
613	22	1534102992000	4.808775	6342.92
614	19	1534102993000	7.272762	6337.86
615	12	1534102994000	1.574353	6339.86
616	7	1534102995000	1.761950	6341.48
617	11	1534102996000	0.261728	6340.70
618	22	1534102997000	4.701418	6335.13
619	13	1534102998000	0.470375	6332.77
620	6	1534102999000	0.501204	6335.81
621	16	1534103000000	3.915292	6334.22
622	19	1534103001000	5.032288	6331.96
623	13	1534103002000	1.012870	6330.36
624	8	1534103003000	1.328858	6329.99
625	7	1534103004000	0.831142	6332.24
626	8	1534103005000	2.352855	6329.75
627	4	1534103006000	0.381180	6330.43
628	37	1534103007000	10.921690	6327.57
629	14	1534103008000	8.688511	6327.94
630	41	1534103009000	2.530242	6316.58
631	25	1534103010000	2.718576	6315.03
632	25	1534103011000	0.876552	6312.55
633	88	1534103012000	14.729940	6301.77
634	24	1534103013000	1.836468	6308.69
635	26	1534103014000	3.692729	6309.85
636	36	1534103015000	14.763172	6315.46
637	22	1534103016000	4.506654	6306.13
638	14	1534103017000	3.374798	6302.58
639	8	1534103018000	0.499543	6304.44
640	19	1534103019000	1.704281	6302.76
641	16	1534103020000	2.139960	6304.72
642	23	1534103021000	3.740462	6300.09
643	59	1534103022000	16.400740	6292.02
644	26	1534103023000	2.926698	6294.56
645	17	1534103024000	0.738794	6295.23
646	19	1534103025000	0.915326	6295.46
647	17	1534103026000	2.420935	6289.44
648	10	1534103027000	0.302483	6295.43
649	80	1534103028000	10.406604	6281.34
650	46	1534103029000	3.701250	6277.10
651	86	1534103030000	24.086911	6268.89
652	53	1534103031000	8.390615	6271.74
653	60	1534103032000	3.143603	6267.43
654	63	1534103033000	13.513473	6260.54
655	35	1534103034000	2.270272	6260.36
656	35	1534103035000	4.744248	6257.30
657	37	1534103036000	3.955796	6256.40
658	53	1534103037000	15.906046	6254.13
659	38	1534103038000	7.044706	6252.72
660	39	1534103039000	10.507763	6250.40
661	25	1534103040000	7.650826	6253.07
662	24	1534103041000	10.340822	6252.63
663	64	1534103042000	16.858663	6244.90
664	28	1534103043000	3.461708	6252.30
665	31	1534103044000	8.522302	6251.88
666	21	1534103045000	4.832619	6250.52
