IDX	TRD	TIMESTAMP	VOLUME	PRICE
222	1	1534711693000	0.106978	6422.35
223	0	1534711694000	0.000000	6422.35
224	0	1534711695000	0.000000	6422.35
225	6	1534711696000	6.876271	6423.36
226	2	1534711697000	0.071018	6423.51
227	1	1534711698000	0.000764	6423.00
228	2	1534711699000	4.576918	6422.35
229	5	1534711700000	3.335737	6422.31
230	2	1534711701000	0.000429	6424.99
231	1	1534711702000	0.000322	6424.99
232	0	1534711703000	0.000000	6424.99
233	4	1534711704000	4.577159	6422.77
234	3	1534711705000	0.051825	6425.00
235	3	1534711706000	4.577054	6423.04
236	0	1534711707000	0.000000	6423.04
237	0	1534711708000	0.000000	6423.04
238	1	1534711709000	0.000102	6424.90
239	0	1534711710000	0.000000	6424.90
240	6	1534711711000	1.598476	6421.90
241	3	1534711712000	2.355358	6421.61
242	0	1534711713000	0.000000	6421.61
243	2	1534711714000	0.007992	6421.38
244	0	1534711715000	0.000000	6421.38
245	1	1534711716000	0.000043	6424.84
246	1	1534711717000	0.000032	6424.84
247	1	1534711718000	0.000024	6424.84
248	2	1534711719000	0.017650	6422.83
249	0	1534711720000	0.000000	6422.83
250	0	1534711721000	0.000000	6422.83
251	1	1534711722000	0.036638	6424.82
252	0	1534711723000	0.000000	6424.82
253	0	1534711724000	0.000000	6424.82
254	1	1534711725000	0.055477	6424.82
255	0	1534711726000	0.000000	6424.82
256	0	1534711727000	0.000000	6424.82
257	0	1534711728000	0.000000	6424.82
258	3	1534711729000	4.665510	6422.30
259	2	1534711730000	0.010000	6423.00
260	0	1534711731000	0.000000	6423.00
261	4	1534711732000	2.638773	6422.61
262	0	1534711733000	0.000000	6422.61
263	2	1534711734000	4.587219	6422.06
264	2	1534711735000	3.195050	6422.82
265	3	1534711736000	4.587231	6422.83
266	0	1534711737000	0.000000	6422.83
267	1	1534711738000	0.000010	6424.56
268	3	1534711739000	3.794463	6422.40
269	4	1534711740000	4.587225	6422.21
270	0	1534711741000	0.000000	6422.21
271	2	1534711742000	0.004677	6424.54
272	3	1534711743000	4.740839	6422.06
273	2	1534711744000	1.308639	6422.02
274	1	1534711745000	3.278579	6422.01
275	4	1534711746000	4.587222	6422.01
276	0	1534711747000	0.000000	6422.01
277	2	1534711748000	4.587218	6422.01
278	2	1534711749000	0.033061	6422.05
279	0	1534711750000	0.000000	6422.05
280	4	1534711751000	4.588780	6422.01
281	4	1534711752000	4.621882	6422.01
282	2	1534711753000	0.020487	6422.05
283	5	1534711754000	1.073980	6422.02
284	2	1534711755000	0.516155	6422.05
285	1	1534711756000	0.030018	6424.53
286	3	1534711757000	4.602746	6422.81
287	1	1534711758000	0.000002	6424.54
288	2	1534711759000	3.016365	6422.89
289	2	1534711760000	0.079042	6424.54
290	3	1534711761000	4.587219	6422.25
291	0	1534711762000	0.000000	6422.25
292	3	1534711763000	0.005295	6422.20
293	9	1534711764000	6.633856	6423.30
294	1	1534711765000	0.000001	6424.89
295	8	1534711766000	0.997361	6421.79
296	0	1534711767000	0.000000	6421.79
297	1	1534711768000	0.000001	6424.86
298	1	1534711769000	0.060508	6424.86
299	1	1534711770000	0.009904	6424.85
300	4	1534711771000	1.004071	6424.89
301	2	1534711772000	0.005718	6424.85
302	1	1534711773000	0.062817	6424.85
303	3	1534711774000	3.403049	6424.89
304	2	1534711775000	0.133577	6424.90
305	10	1534711776000	16.779871	6424.93
306	2	1534711777000	0.986682	6425.17
307	14	1534711778000	2.051615	6428.98
308	3	1534711779000	1.459944	6430.54
309	3	1534711780000	0.973311	6428.13
310	4	1534711781000	0.995216	6428.14
311	5	1534711782000	0.122772	6427.18
312	5	1534711783000	1.386363	6427.04
313	1	1534711784000	0.127975	6428.14
314	0	1534711785000	0.000000	6428.14
315	3	1534711786000	0.371269	6428.14
316	1	1534711787000	0.002163	6428.15
317	4	1534711788000	4.594236	6428.36
318	7	1534711789000	1.070732	6429.95
319	2	1534711790000	0.197800	6429.69
320	0	1534711791000	0.000000	6429.69
321	2	1534711792000	0.039177	6429.99
322	5	1534711793000	1.112000	6429.99
323	1	1534711794000	2.087451	6429.99
324	1	1534711795000	0.132923	6429.99
325	2	1534711796000	0.002076	6429.98
326	1	1534711797000	1.000000	6429.99
327	1	1534711798000	1.066136	6429.99
328	3	1534711799000	1.009706	6431.28
329	2	1534711800000	1.094642	6431.32
330	3	1534711801000	4.376149	6430.53
331	1	1534711802000	0.000032	6431.45
332	2	1534711803000	0.244064	6431.44
333	3	1534711804000	0.162853	6431.44
334	1	1534711805000	0.000014	6431.45
335	6	1534711806000	2.372532	6432.62
336	3	1534711807000	0.458614	6432.96
337	8	1534711808000	2.000105	6433.55
338	2	1534711809000	0.000019	6433.37
339	4	1534711810000	1.886116	6433.18
340	6	1534711811000	0.740654	6434.43
341	8	1534711812000	1.658680	6434.75
342	7	1534711813000	0.355409	6436.22
343	2	1534711814000	0.085770	6436.30
344	3	1534711815000	3.284071	6436.74
345	12	1534711816000	1.587789	6437.89
346	3	1534711817000	4.146940	6437.99
347	5	1534711818000	0.868226	6437.90
348	8	1534711819000	4.555372	6436.79
349	2	1534711820000	0.081088	6436.93
350	2	1534711821000	0.009992	6436.50
351	0	1534711822000	0.000000	6436.50
352	8	1534711823000	5.796220	6436.71
353	2	1534711824000	0.028033	6436.70
354	6	1534711825000	4.851507	6437.34
355	1	1534711826000	0.024000	6437.19
356	2	1534711827000	1.613828	6437.20
357	5	1534711828000	4.504335	6437.72
358	4	1534711829000	0.439102	6437.20
359	2	1534711830000	0.000284	6437.19
360	1	1534711831000	0.000573	6437.20
361	5	1534711832000	5.870877	6437.19
362	4	1534711833000	2.484966	6437.42
363	2	1534711834000	2.377526	6437.20
364	1	1534711835000	0.000289	6437.19
365	7	1534711836000	1.652696	6437.20
366	14	1534711837000	7.126199	6437.26
367	4	1534711838000	0.110160	6435.23
368	1	1534711839000	0.021087	6434.75
369	2	1534711840000	0.106868	6436.91
370	5	1534711841000	3.678781	6436.91
371	9	1534711842000	1.645878	6436.07
372	3	1534711843000	0.394903	6432.13
373	0	1534711844000	0.000000	6432.13
374	2	1534711845000	0.001785	6434.92
375	1	1534711846000	0.000001	6431.88
376	2	1534711847000	0.131494	6431.88
377	1	1534711848000	0.000043	6434.88
378	2	1534711849000	0.331929	6434.13
379	4	1534711850000	0.060903	6434.87
380	0	1534711851000	0.000000	6434.87
381	1	1534711852000	0.000024	6434.84
382	1	1534711853000	0.010000	6431.88
383	1	1534711854000	0.002000	6434.82
384	1	1534711855000	0.001637	6434.81
385	1	1534711856000	0.000018	6434.80
386	4	1534711857000	0.915887	6431.87
387	2	1534711858000	0.168744	6432.38
388	6	1534711859000	0.756801	6434.43
389	1	1534711860000	0.000004	6434.80
390	1	1534711861000	0.000010	6434.58
391	8	1534711862000	1.789282	6432.31
392	6	1534711863000	2.318986	6431.57
393	14	1534711864000	2.806314	6432.04
394	6	1534711865000	0.581357	6429.92
395	2	1534711866000	0.990001	6430.44
396	4	1534711867000	0.110398	6431.11
397	11	1534711868000	0.506605	6429.35
398	5	1534711869000	1.500002	6428.70
399	11	1534711870000	8.070463	6423.47
400	1	1534711871000	0.000001	6430.29
401	4	1534711872000	0.863664	6430.04
402	1	1534711873000	0.000001	6426.63
403	3	1534711874000	0.392810	6426.44
404	2	1534711875000	0.040001	6426.63
405	2	1534711876000	0.219712	6426.30
406	2	1534711877000	0.233307	6426.32
407	5	1534711878000	1.778414	6425.63
408	2	1534711879000	0.081989	6425.63
409	1	1534711880000	1.040751	6423.65
410	4	1534711881000	0.183399	6425.23
411	3	1534711882000	0.017588	6423.79
412	4	1534711883000	0.642484	6425.04
413	0	1534711884000	0.000000	6425.04
414	3	1534711885000	0.011787	6425.62
415	4	1534711886000	2.197666	6425.63
416	5	1534711887000	0.936664	6427.69
417	0	1534711888000	0.000000	6427.69
418	2	1534711889000	0.164331	6428.69
419	19	1534711890000	9.826937	6429.95
420	19	1534711891000	4.631310	6430.00
421	20	1534711892000	7.340720	6430.00
422	7	1534711893000	1.806001	6429.94
423	7	1534711894000	27.851533	6430.78
424	1	1534711895000	0.070549	6430.38
425	5	1534711896000	0.570493	6434.46
426	0	1534711897000	0.000000	6434.46
427	0	1534711898000	0.000000	6434.46
428	9	1534711899000	3.213053	6434.88
429	3	1534711900000	0.267951	6434.91
430	2	1534711901000	0.150368	6434.98
431	1	1534711902000	0.000024	6435.00
432	0	1534711903000	0.000000	6435.00
433	1	1534711904000	0.002678	6434.99
434	3	1534711905000	3.365849	6435.00
435	3	1534711906000	1.100099	6435.00
436	2	1534711907000	0.100010	6435.00
437	3	1534711908000	0.059157	6434.99
438	3	1534711909000	0.969742	6434.99
439	4	1534711910000	1.768913	6435.00
440	1	1534711911000	0.000003	6435.00
441	3	1534711912000	0.023159	6434.99
442	2	1534711913000	0.005002	6435.00
443	18	1534711914000	13.648720	6436.85
444	16	1534711915000	5.573969	6439.09
445	5	1534711916000	0.100133	6439.35
446	3	1534711917000	0.317771	6439.72
447	45	1534711918000	15.123299	6443.29
448	7	1534711919000	0.517011	6444.60
449	14	1534711920000	0.786097	6445.44
450	4	1534711921000	0.141558	6445.30
451	12	1534711922000	1.174560	6446.82
452	8	1534711923000	1.059367	6446.99
453	25	1534711924000	5.265242	6448.11
454	5	1534711925000	1.149488	6449.00
455	10	1534711926000	1.215096	6448.97
456	9	1534711927000	2.039622	6449.06
457	14	1534711928000	7.867027	6449.82
458	5	1534711929000	1.694551	6450.00
459	36	1534711930000	44.854957	6450.16
460	8	1534711931000	0.482189	6450.19
461	6	1534711932000	0.481516	6452.97
462	10	1534711933000	0.768606	6452.98
463	18	1534711934000	1.861815	6453.43
464	6	1534711935000	2.385550	6455.00
465	6	1534711936000	1.355540	6455.00
466	21	1534711937000	2.305653	6455.16
467	14	1534711938000	5.006430	6458.26
468	4	1534711939000	0.310406	6456.30
469	7	1534711940000	2.189262	6456.53
470	5	1534711941000	0.107099	6456.69
471	5	1534711942000	5.594537	6458.79
472	7	1534711943000	4.783165	6458.37
473	2	1534711944000	0.087076	6458.07
474	5	1534711945000	1.111326	6457.93
475	7	1534711946000	2.968475	6458.83
476	5	1534711947000	1.118568	6458.94
477	5	1534711948000	0.116984	6458.98
478	4	1534711949000	1.197316	6459.00
479	4	1534711950000	5.687796	6458.83
480	5	1534711951000	0.897879	6458.33
481	7	1534711952000	6.561973	6458.92
482	14	1534711953000	10.305047	6459.98
483	3	1534711954000	1.452101	6459.87
484	7	1534711955000	2.172816	6458.99
485	10	1534711956000	6.093074	6459.92
486	4	1534711957000	3.013294	6460.00
487	6	1534711958000	9.072300	6459.92
488	14	1534711959000	8.395242	6459.96
489	11	1534711960000	5.823306	6459.94
490	28	1534711961000	4.954074	6461.26
491	4	1534711962000	1.749592	6463.85
492	15	1534711963000	3.996990	6459.53
493	75	1534711964000	23.630523	6466.93
494	10	1534711965000	2.190926	6458.82
495	9	1534711966000	1.379452	6459.78
496	7	1534711967000	2.059236	6459.70
497	13	1534711968000	4.190990	6466.03
498	7	1534711969000	3.753002	6459.11
499	11	1534711970000	0.721841	6460.79
500	4	1534711971000	0.177663	6459.07
501	4	1534711972000	0.073483	6460.86
502	14	1534711973000	1.535133	6461.05
503	2	1534711974000	0.036674	6460.99
504	3	1534711975000	0.062336	6461.87
505	2	1534711976000	0.286276	6462.10
506	12	1534711977000	0.526274	6461.88
507	4	1534711978000	0.900000	6459.44
508	3	1534711979000	0.284659	6460.99
509	6	1534711980000	0.137622	6462.38
510	8	1534711981000	1.973346	6462.90
511	5	1534711982000	0.158517	6461.97
512	4	1534711983000	0.222543	6463.19
513	11	1534711984000	0.550083	6462.19
514	4	1534711985000	0.121217	6462.73
515	0	1534711986000	0.000000	6462.73
516	1	1534711987000	0.019290	6461.00
517	5	1534711988000	0.902836	6463.06
518	13	1534711989000	1.318551	6462.86
519	9	1534711990000	0.923505	6465.17
520	20	1534711991000	1.780687	6467.81
521	3	1534711992000	0.095203	6463.56
522	7	1534711993000	1.417606	6466.10
523	5	1534711994000	0.218168	6466.04
524	5	1534711995000	0.149911	6469.53
525	7	1534711996000	1.666693	6468.65
526	14	1534711997000	2.627755	6469.21
527	2	1534711998000	0.124101	6468.51
528	6	1534711999000	0.378321	6469.93
529	22	1534712000000	4.320962	6472.01
530	8	1534712001000	0.193014	6470.83
531	10	1534712002000	0.254787	6473.35
532	17	1534712003000	3.302378	6473.38
533	7	1534712004000	3.443749	6474.45
534	11	1534712005000	2.374331	6474.37
